0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
75000000,10,10,10,41961,1637,2,60,44225,9063,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,813421,304053,8,97,10853,137,364548,610616,1949811,8918,16544
50000000,8,9,4,42814,457,2,30,1111,3512,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,69046,579861,5,86,1719,83,3257248,1179919,2810563,1350,486
38171428,9,9,10,42314,1210,2,60,4622,3150,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,367258,167067,4,81,4187,112,63681,65393,230265,2053,1536
31114285,8,9,10,41946,1578,2,60,6151,1636,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,617510,30640,5,83,3704,110,12675,8359,87524,766,2162
26500000,10,10,9,43399,339,2,60,14295,4239,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,175002,382860,8,97,10991,131,51403,18760,90787,7061,5889
24000000,9,9,10,43004,344,2,60,962,1370,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,543622,143683,6,84,1681,124,0,0,0,666,693
21300000,9,9,9,42318,1206,0,60,9272,5535,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,973227,144758,6,88,15283,135,472962,174988,852390,4169,4486
20000000,10,8,8,42143,1486,0,60,13928,7378,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,270112,41007,9,93,32008,124,92268,264703,604830,10870,1361
19428571,9,9,10,42678,846,2,60,2649,896,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,207935,116685,3,78,2664,121,15417,9083,61279,1657,1189
19010000,10,10,10,42853,885,2,60,991,709,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,133081,186246,8,92,1544,95,0,0,0,3786,3000
18643807,6,6,4,41499,885,2,10,18278,5945,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,249917,37545,3,79,3673,51,247709,398595,6294068,184,617
16666666,8,9,10,43042,50,2,60,3267,1847,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,185548,170705,4,80,2543,125,19406,13656,252170,1161,1548
16250000,10,10,10,42500,1106,2,60,17123,4355,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,162276,102374,8,93,9875,113,0,0,0,9687,685
15710000,9,10,10,43441,297,2,60,1091,610,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,314587,271926,8,93,2082,99,0,0,0,3240,1743
15380000,10,10,10,43035,703,0,60,1876,1178,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,240726,209812,8,97,4418,113,0,0,0,7646,8254
14540000,10,10,10,42797,941,0,60,3350,1865,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,278949,191576,8,97,12952,109,0,0,0,15441,17540
14100000,8,8,8,43126,623,1,60,432,2590,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,243322,169921,7,90,2385,144,97088,156090,376174,9766,3561
13200000,8,10,10,43350,346,0,60,8599,3405,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,170615,233622,8,87,3860,116,0,0,0,3750,1849
12000000,7,9,10,43350,248,2,60,248,395,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,94025,47830,4,83,642,80,93595,354531,696618,324,579
11280000,8,9,10,43420,271,0,60,317,224,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,166773,148108,6,80,2416,162,29202,18850,37352,2469,1594
11000000,7,9,8,42108,1453,2,60,2486,3748,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,449258,105232,7,86,1896,112,0,0,0,518,274
11000000,6,10,6,42472,1258,0,20,1150,2791,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,93860,173332,8,85,1716,101,15743,33027,98494,1832,714
10500000,5,5,2,42192,613,2,60,1781,5308,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,342106,207485,8,87,3008,124,0,0,0,748,259
10000000,5,9,1,42916,593,0,40,979,1049,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,140293,158305,8,80,1468,148,103129,340161,596655,357,78
10000000,0,10,9,43210,396,0,20,12014,4609,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,273006,292083,9,94,10849,118,3755,4352,60320,7231,5007
10000000,9,10,3,42794,730,0,60,6658,4562,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,209361,143742,8,89,7221,115,0,0,0,6755,2795
10000000,7,9,10,42993,322,2,60,267,373,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,177247,61960,4,87,1225,91,0,0,0,605,594
10000000,10,10,9,41849,1757,2,60,41418,4139,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,129989,37803,9,95,7617,69,25432,17574,58964,8146,7674
10000000,9,9,6,41709,571,2,60,1522,956,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,420593,29807,6,86,4218,97,0,0,0,310,1579
9280000,10,10,6,42937,801,2,60,321,305,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,175653,171642,8,83,1028,100,0,0,0,3843,2646
9147240,5,5,1,41619,1663,2,35,14,2433,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,128558,57838,6,69,386,11,0,0,0,8,112
9000000,9,9,7,41786,158,2,60,6658,3431,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,644140,11645,6,80,7344,113,47887,23164,82390,1322,2452
8500000,7,9,10,42629,321,2,60,330,589,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,179288,42215,6,90,486,70,14905,8446,47357,920,758
8500000,8,9,9,41733,1058,2,10,940,2070,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,322226,151951,5,71,2493,64,32498,57056,305790,78,115
8500000,9,9,8,41337,1021,0,30,8460,6536,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,475705,112845,8,86,4077,18,162657,49569,489938,1838,7593
8400000,9,9,10,42703,713,1,60,1706,2467,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,267796,110368,7,83,4738,122,29244,106253,132971,5944,2292
8000000,7,10,8,43025,499,2,20,200,993,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,174485,13699,6,75,1489,83,29498,15322,224444,911,256
7590000,10,10,10,43378,360,2,60,220,146,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,123679,52103,7,76,393,84,0,0,0,1090,1146
7000000,7,9,8,43721,17,1,60,467,513,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,52118,360940,5,82,3195,116,0,0,0,1317,469
7000000,7,9,6,42674,372,0,19,1329,21,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,82363,56534,7,85,536,66,0,0,0,1400,632
7000000,8,9,8,42397,670,0,60,5936,4564,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,86822,120955,8,86,2790,147,51650,29489,190576,3627,5079
6800000,8,8,8,42759,977,0,60,3537,2205,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,150371,224481,7,86,3701,136,44588,62900,345877,2773,2699
6007744,6,6,4,41334,1948,2,15,3493,3707,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3242,22994,8,74,576,24,20449,13442,170069,33,302
6000000,5,5,3,42157,416,2,50,177,1456,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,175098,57668,5,70,443,51,121575,110485,271019,526,402
6000000,7,9,10,43714,24,1,60,71,106,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,76250,57229,1,80,1245,73,83446,250427,1052120,160,131
6000000,8,9,10,43784,3,0,60,124,69,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,18284,184716,4,80,6573,121,31410,9678,23944,2189,490
